1,BURGER,0.45,10
2,PIZZA,0.45,10
3,HOT DOG,0.45,10
4,CEREAL,0.45,10
5,EGGS,0.45,10
6,BACON,0.45,10
7,CHEESE,0.45,10
8,SAUSAGE,0.45,10
9,CHICKEN,0.45,10
10,MILK,0.45,10
11,WATER,0.45,10
12,TACO,0.45,10
13,BURRITO,0.45,10
14,POTATO,0.45,10
15,CHIPS,0.45,10
16,FRIES,0.45,10
17,STEAK,0.45,10
18,SHRIMP,0.45,10
19,FISH,0.45,10
20,PORK CHOP,0.45,10
21,CHEESEBURGER,0.25,25
22,FRIED CHICKEN,0.25,25
23,TURKEY BACON,0.25,25
24,RELISH,0.25,25
25,PICKLE,0.25,25
26,DOUBLE CHEESEBURGER,0.25,25
27,CHICKEN NUGGETS,0.25,25
28,TATER TOTS,0.25,25
29,SWEET POTATO FRIES,0.25,25
30,QUESADILLA,0.25,25
31,ENCHILADA,0.25,25
32,POT ROAST,0.25,25
33,CORN,0.25,25
34,GREEN BEANS,0.25,25
35,CARROT,0.25,25
36,BELL PEPPER,0.15,50
37,SUSHI,0.15,50
38,SPAGHETTI,0.15,50
39,CHEESE FRIES,0.15,50
40,PANCAKES,0.15,50
41,WAFFLES,0.15,50
42,SYRUP,0.15,50
43,CINNAMON ROLLS,0.15,50
44,BISCUITS,0.15,50
45,BUBBLEGUM,0.15,50
46,CASSEROLE,0.1,100
47,HAM SANDWICH,0.1,100
48,TURKEY SANDWICH,0.1,100
49,ROOT BEER,0.1,100
50,WATER,0.1,100
51,GLIZZY,0.01,500
52,DOG,0.45,10
53,CAT,0.45,10
54,FISH,0.45,10
55,PIG,0.45,10
56,COW,0.45,10
57,GOAT,0.45,10
58,HAMSTER,0.45,10
59,SHEEP,0.45,10
60,CHICKEN,0.45,10
61,HORSE,0.45,10
62,MONKEY,0.45,10
63,DONKEY,0.45,10
64,MOUSE,0.45,10
65,RABBIT,0.45,10
66,DEER,0.45,10
67,FROG,0.45,10
68,CROW,0.45,10
69,COYOTE,0.45,10
70,TURTLE,0.45,10
71,WHALE,0.45,10
72,ZEBRA,0.25,25
73,CARDINAL,0.25,25
74,DUCK,0.25,25
75,SEAHORSE,0.25,25
